year,week,max_temp_c,rainfall_mm,promo_flag,public_holiday_week,school_holiday_week,fuel_index
2022,1,11.16,5.87,0,1,1,1.578
2022,2,12.08,6.25,0,0,1,1.48
2022,3,12.85,1.62,0,0,0,1.509
2022,4,13.8,6.15,1,0,0,1.454
2022,5,14.13,9.48,0,0,0,1.637
2022,6,10.15,7.02,1,0,0,1.577
2022,7,12.08,8.98,1,0,0,1.544
2022,8,12.15,10.9,0,0,0,1.662
2022,9,15.04,1.13,0,0,0,1.521
2022,10,14.1,8.07,0,0,0,1.547
2022,11,14.36,8.58,0,0,0,1.564
2022,12,18.88,10.76,0,0,0,1.614
2022,13,20.15,14.8,0,1,0,1.591
2022,14,19.61,13.73,0,0,1,1.573
2022,15,18.28,9.09,0,0,1,1.62
2022,16,20.02,7.55,0,1,0,1.571
2022,17,20.97,13.51,0,1,0,1.585
2022,18,23.16,13.59,0,1,0,1.534
2022,19,24.78,7.15,0,0,0,1.539
2022,20,28.66,16.81,0,0,0,1.529
2022,21,27.43,16.64,1,0,0,1.582
2022,22,27.86,19.99,0,0,0,1.535
2022,23,29.56,12.86,0,0,0,1.599
2022,24,29.64,14.61,0,1,0,1.487
2022,25,29.73,21.2,0,1,0,1.536
2022,26,30.75,23.58,0,0,0,1.498
2022,27,30.86,19.11,0,0,1,1.531
2022,28,33.84,20.51,0,0,1,1.45
2022,29,31.12,15.85,0,0,0,1.544
2022,30,31.05,22.44,0,0,0,1.498
2022,31,31.15,23.11,0,0,0,1.511
2022,32,32.12,23.02,1,0,0,1.488
2022,33,32.93,16.09,0,0,0,1.488
2022,34,30.91,11.38,0,0,0,1.438
2022,35,31.02,26.42,1,0,0,1.512
2022,36,31.0,11.88,0,0,0,1.461
2022,37,27.97,19.26,0,0,0,1.451
2022,38,28.82,20.57,0,0,0,1.497
2022,39,24.52,14.38,0,0,1,1.436
2022,40,26.51,15.26,0,0,1,1.518
2022,41,26.29,8.57,0,1,0,1.493
2022,42,22.75,20.68,0,0,0,1.44
2022,43,20.87,6.94,1,0,0,1.452
2022,44,19.78,6.22,0,0,0,1.449
2022,45,18.25,3.02,1,0,0,1.492
2022,46,19.55,15.61,0,0,0,1.473
2022,47,14.95,9.64,0,0,0,1.502
2022,48,13.4,13.53,0,0,0,1.481
2022,49,14.94,0.34,0,0,0,1.489
2022,50,12.82,15.41,0,0,0,1.537
2022,51,13.74,2.1,0,0,1,1.533
2022,52,12.98,6.55,1,1,1,1.474
2023,1,13.88,10.42,0,1,1,1.518
2023,2,15.47,10.74,0,0,1,1.548
2023,3,10.54,2.4,0,0,0,1.559
2023,4,11.8,0.82,0,0,0,1.481
2023,5,11.94,7.12,0,0,0,1.608
2023,6,12.44,4.56,0,0,0,1.536
2023,7,10.61,4.54,0,0,0,1.631
2023,8,12.44,0.2,1,0,0,1.563
2023,9,12.17,3.41,0,0,0,1.514
2023,10,16.73,6.83,0,0,0,1.629
2023,11,14.24,8.26,0,0,0,1.608
2023,12,19.98,4.18,0,0,0,1.674
2023,13,16.0,15.66,0,1,0,1.631
2023,14,19.29,11.14,0,0,1,1.584
2023,15,20.63,9.02,1,0,1,1.549
2023,16,22.91,17.66,0,1,0,1.586
2023,17,23.86,13.17,0,1,0,1.609
2023,18,21.54,9.98,0,1,0,1.589
2023,19,25.09,13.8,1,0,0,1.594
2023,20,27.49,16.19,0,0,0,1.536
2023,21,26.27,12.97,0,0,0,1.544
2023,22,28.57,17.62,0,0,0,1.635
2023,23,28.89,17.86,0,0,0,1.493
2023,24,27.9,18.37,0,1,0,1.55
2023,25,28.1,18.1,0,1,0,1.554
2023,26,31.15,10.82,0,0,0,1.489
2023,27,30.9,15.77,0,0,1,1.538
2023,28,33.16,18.65,0,0,1,1.496
2023,29,31.22,18.12,0,0,0,1.497
2023,30,34.12,19.22,0,0,0,1.576
2023,31,29.4,19.55,0,0,0,1.575
2023,32,32.97,13.18,0,0,0,1.426
2023,33,32.61,17.44,0,0,0,1.542
2023,34,32.02,18.1,0,0,0,1.515
2023,35,29.71,19.2,0,0,0,1.361
2023,36,30.19,18.06,0,0,0,1.45
2023,37,30.62,13.93,1,0,0,1.453
2023,38,28.88,6.57,0,0,0,1.462
2023,39,26.43,17.46,0,0,1,1.479
2023,40,22.74,11.94,0,0,1,1.5
2023,41,24.04,11.67,0,1,0,1.455
2023,42,21.5,2.36,0,0,0,1.493
2023,43,21.9,9.64,0,0,0,1.465
2023,44,23.46,10.08,0,0,0,1.483
2023,45,19.47,12.02,0,0,0,1.507
2023,46,19.5,13.48,0,0,0,1.583
2023,47,16.83,6.65,0,0,0,1.5
2023,48,13.14,11.01,1,0,0,1.542
2023,49,15.88,3.15,0,0,0,1.491
2023,50,13.22,5.8,0,0,0,1.484
2023,51,14.95,7.55,0,0,1,1.491
2023,52,13.28,5.55,0,1,1,1.552
2024,1,11.22,5.04,0,1,1,1.551
2024,2,11.57,4.56,0,0,1,1.544
2024,3,13.54,7.71,1,0,0,1.629
2024,4,11.14,7.6,0,0,0,1.548
2024,5,13.98,2.45,0,0,0,1.682
2024,6,8.99,9.7,1,0,0,1.615
2024,7,12.88,0.0,0,0,0,1.649
2024,8,13.48,14.14,0,0,0,1.676
2024,9,13.72,1.74,0,0,0,1.672
2024,10,14.78,8.39,1,0,0,1.519
2024,11,18.42,15.63,0,0,0,1.626
2024,12,16.47,7.33,0,0,0,1.643
2024,13,15.62,7.36,0,1,0,1.588
2024,14,19.51,17.96,0,0,1,1.638
2024,15,18.28,14.51,0,0,1,1.589
2024,16,19.78,10.39,0,1,0,1.65
2024,17,22.49,5.46,0,1,0,1.637
2024,18,24.48,10.07,0,1,0,1.584
2024,19,25.72,5.99,1,0,0,1.652
2024,20,24.84,19.6,0,0,0,1.517
2024,21,25.34,22.54,0,0,0,1.564
2024,22,27.84,16.46,0,0,0,1.544
2024,23,28.82,19.04,1,0,0,1.541
2024,24,28.78,11.6,0,1,0,1.615
2024,25,29.44,19.6,0,1,0,1.491
2024,26,32.72,16.57,0,0,0,1.5
2024,27,29.89,22.28,0,0,1,1.579
2024,28,31.73,22.47,0,0,1,1.455
2024,29,30.46,20.1,0,0,0,1.53
2024,30,32.37,16.87,0,0,0,1.512
2024,31,30.15,21.4,0,0,0,1.54
2024,32,29.5,11.77,0,0,0,1.615
2024,33,32.04,16.44,0,0,0,1.532
2024,34,31.05,20.16,1,0,0,1.505
2024,35,34.21,9.19,0,0,0,1.486
2024,36,30.27,11.1,1,0,0,1.514
2024,37,26.56,28.57,0,0,0,1.545
2024,38,28.27,17.44,0,0,0,1.52
2024,39,26.29,10.55,0,0,1,1.568
2024,40,26.04,20.7,0,0,1,1.602
2024,41,24.74,14.15,0,1,0,1.561
2024,42,22.58,15.38,0,0,0,1.495
2024,43,24.19,14.14,0,0,0,1.495
2024,44,20.47,4.54,0,0,0,1.552
2024,45,19.28,10.99,0,0,0,1.489
2024,46,18.48,13.03,1,0,0,1.556
2024,47,19.11,7.32,0,0,0,1.442
2024,48,16.7,5.67,0,0,0,1.51
2024,49,15.0,9.57,0,0,0,1.583
2024,50,13.33,4.96,0,0,0,1.565
2024,51,12.12,11.67,0,0,1,1.547
2024,52,13.67,0.65,0,1,1,1.568
2025,1,13.89,7.33,0,1,1,1.582
2025,2,12.26,9.99,0,0,1,1.572
2025,3,13.38,8.42,0,0,0,1.552
2025,4,13.68,5.31,0,0,0,1.634
2025,5,12.57,1.71,0,0,0,1.634
2025,6,9.63,8.36,1,0,0,1.634
2025,7,9.31,12.78,0,0,0,1.594
2025,8,12.79,8.88,0,0,0,1.683
2025,9,13.42,13.64,0,0,0,1.625
2025,10,12.13,4.29,0,0,0,1.569
2025,11,17.9,8.88,1,0,0,1.625
2025,12,18.83,11.72,0,0,0,1.613
2025,13,18.73,5.81,0,1,0,1.539
2025,14,17.57,10.31,0,0,1,1.61
2025,15,21.0,4.61,0,0,1,1.636
2025,16,18.44,16.45,1,1,0,1.582
2025,17,22.83,8.65,1,1,0,1.569
2025,18,22.66,3.93,1,1,0,1.695
2025,19,23.72,4.21,1,0,0,1.615
2025,20,25.77,13.86,0,0,0,1.606
2025,21,26.05,16.18,0,0,0,1.6
2025,22,27.31,12.8,0,0,0,1.541
2025,23,28.81,19.53,0,0,0,1.528
2025,24,29.24,19.4,0,1,0,1.549
2025,25,33.66,20.66,0,1,0,1.697
2025,26,30.42,11.26,0,0,0,1.583
2025,27,28.99,20.38,0,0,1,1.517
2025,28,30.73,12.92,0,0,1,1.586
2025,29,32.06,17.07,0,0,0,1.547
2025,30,31.02,16.4,1,0,0,1.557
2025,31,32.69,15.02,1,0,0,1.529
2025,32,30.77,20.99,1,0,0,1.541
2025,33,29.82,20.42,0,0,0,1.549
2025,34,33.76,8.88,0,0,0,1.565
2025,35,27.89,16.26,0,0,0,1.591
2025,36,29.59,15.49,0,0,0,1.567
2025,37,30.26,10.33,0,0,0,1.549
2025,38,25.92,23.05,0,0,0,1.54
2025,39,26.38,13.32,1,0,1,1.598
2025,40,26.09,6.06,0,0,1,1.552
2025,41,25.02,18.35,0,1,0,1.521
2025,42,22.94,13.89,1,0,0,1.508
2025,43,21.51,14.28,0,0,0,1.532
2025,44,22.05,8.31,0,0,0,1.588
2025,45,19.6,10.2,0,0,0,1.528
2025,46,17.46,13.87,0,0,0,1.535
2025,47,18.97,8.9,0,0,0,1.537
2025,48,16.9,7.89,0,0,0,1.566
2025,49,13.26,6.07,0,0,0,1.584
2025,50,15.69,8.54,0,0,0,1.522
2025,51,13.7,4.4,0,0,1,1.558
2025,52,13.83,4.77,0,1,1,1.539
